"ch" "GR" "weight" "FA" "BCI" "sex" "ageclass"
"1000000" "MA" 7.56 36.74 0.205770278 "M" "A"
"0010000" "MA" 8 38.1 0.20997375328084 "M" "A"
"0000010" "FA" 8.1 39.1 0.207161125 "F" "A"
"0000100" "MJ" 7.9 37.14 0.212708669897684 "M" "J"
"0100000" "FA" 8.78 37.2 0.236021505 "F" "A"
"1000000" "FA" 13.3 37.805 0.351805317 "F" "A"
"0100000" "MA" 7.92 39.25666667 0.201749172 "M" "A"
"0100110" "FA" 8.95 37.78333333 0.23687693 "F" "A"
"0011000" "MA" 9.95 38.38333333 0.259042696 "M" "A"
"0100000" "FJ" 8.25 38.70333333 0.213159935 "F" "J"
"0100000" "MA" 8.12 38.19666667 0.212583995 "M" "A"
"1000000" "FA" 12.52 39.025 0.320819987 "F" "A"
"0010000" "MA" 10.2 38.3 0.266318538 "M" "A"
"0011000" "MA" 13.2 38.45 0.3433069535 "M" "A"
"0010000" "FA" 9.3 38.83333333 0.239484979 "F" "A"
"0001000" "FA" 9.4 37.68333333 0.249447147 "F" "A"
"0011000" "FJ" 8.1 37.2 0.217741935 "F" "J"
"0001000" "MA" 9.3 39.2 0.237244898 "M" "A"
"0010000" "MJ" 7.7 38.7 0.198966408 "M" "J"
"0001000" "FA" 8.5 38.3 0.221932115 "F" "A"
"0000110" "FA" 7.4 38.23333333 0.193548387113649 "F" "A"
"0010000" "FA" 12.7 39.316666665 0.323030461 "F" "A"
"0000100" "MJ" 6.8 38.37333333 0.177206393344094 "M" "J"
"0010001" "MA" 12.2 37.4 0.326203209 "M" "A"
"0011000" "MA" 10.9 36.76333333 0.2963419445 "M" "A"
"0010000" "MA" 10.8 37 0.291891892 "M" "A"
"0010000" "MA" 9.1 37.03333333 0.245724572 "M" "A"
"0100000" "MA" 8.69 37.96666667 0.228884987 "M" "A"
"0100000" "FJ" 7.69 35.51666667 0.216518067 "F" "J"
"0100000" "MA" 8.19 38.26333333 0.214043035 "M" "A"
"0100000" "FA" 8.85 38.20333333 0.231655178 "F" "A"
"0101000" "MA" 8.88 38.14666667 0.232785739 "M" "A"
"0100000" "MA" 8 39.15333333 0.204324877 "M" "A"
"0100000" "MA" 9.22 35.79666667 0.257565881 "M" "A"
"1100000" "MA" 11.81 37.77 0.312682023 "M" "A"
"0010100" "MA" 7.6 38.13333333 0.199300699 "M" "A"
"0010000" "MA" 8.2 38 0.215789474 "M" "A"
"0010000" "MA" 7.2 37.4 0.192513369 "M" "A"
"0010000" "MA" 7.7 39.4 0.195431472 "M" "A"
"1000000" "FJ" 9.7 37.7 0.25729443 "F" "J"
"0000001" "FA" 10.4 40.2 0.258706468 "F" "A"
"1100000" "MA" 13.1 39.02 0.335725269 "M" "A"
"0010000" "MA" 6.6 38.3 0.17232376 "M" "A"
"0100000" "MA" 8.06 38.18 0.211105291 "M" "A"
"0100000" "FA" 9.36 36.32333333 0.257685602 "F" "A"
"1000000" "MA" 12.31 38.38 0.320739969 "M" "A"
"0010000" "MA" 7.4 39 0.18974359 "M" "A"
"0100000" "MA" 7.74 38.05 0.203416557 "M" "A"
"0000001" "FA" 9.3 37 0.251351351 "F" "A"
"1000000" "FA" 10.61 38.3 0.277023499 "F" "A"
"0000001" "MA" 8.3 37.3 0.222520107 "M" "A"
"0100000" "MA" 9.66 38.24666667 0.25257103 "M" "A"
"0100000" "MA" 8.42 38.31666667 0.219747716 "M" "A"
"0100000" "FA" 9.52 38.16333333 0.249454101 "F" "A"
"1000000" "FJ" 9.61 37.68 0.255042463 "F" "J"
"0100000" "FA" 10 37.37666667 0.267546598 "F" "A"
"1100000" "MA" 14.6 37.815 0.386090176 "M" "A"
"0100000" "MJ" 7.33 38.24666667 0.191650689 "M" "J"
"1000000" "FA" 12.39 38.625 0.320776699 "F" "A"
"0101011" "FA" 9.62 38.96333333 0.246898794 "F" "A"
"0011000" "MA" 7.4 39.06666667 0.189419795 "M" "A"
"0010000" "MA" 8 39.6 0.202020202 "M" "A"
