capdate,area,location,code,recap,species,Age,sex,repro,mass,faavg,bci
19/06/2009,Grand.Rapids,Heidi.Cook's.House,0006C99211,N,MYLU,NA,M,NA,7.3,36.76,0.198585419
04/08/2009,Southwestern.Manitoba,Bob.Walden's,6968964,N,MYLU,A,F,NA,9,39.61,0.22721535
04/08/2009,Southwestern.Manitoba,Bob.Walden's,0006098B0D,N,MYLU,A,F,NA,10,39.11,0.255689082
04/08/2009,Southwestern.Manitoba,Bob.Walden's,00069670A9,N,MYLU,J,M,NA,7.4,39.19,0.18882368
04/08/2009,Southwestern.Manitoba,Bob.Walden's,000696E70D,N,MYLU,J,F,NA,7.4,39.53,0.187199595
04/08/2009,Southwestern.Manitoba,Bob.Walden's,0006C978FD,N,MYLU,J,M,NA,6.8,37.31,0.182256768
04/08/2009,Southwestern.Manitoba,Bob.Walden's,0006C97E4E,N,MYLU,J,F,NA,7.5,38.85,0.193050193
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,6967576,N,MYLU,J,F,NA,8.1,38.54,0.210171251
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,000696EE15,N,MYLU,J,F,NA,6.9,38.81,0.17778923
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C96A8F,N,MYLU,J,M,NA,7.1,37.7,0.188328912
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C974F4,N,MYLU,J,M,NA,6.5,38.19,0.170201623
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C97FD6,N,MYLU,J,M,NA,6.8,38.81,0.175212574
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C98065,N,MYLU,J,M,NA,6.9,38.74,0.17811048
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C9862C,N,MYLU,J,F,NA,7.3,37.97,0.192257045
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C99430,N,MYLU,J,M,NA,7.8,38.62,0.201967892
09/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C994B5,N,MYLU,J,M,NA,7.2,37.07,0.194227138
10/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C9693E,N,MYLU,A,F,NA,9.9,37.49,0.264070419
10/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,0006C99DD6,N,MYLU,J,F,NA,9.8,39.1,0.250639386
11/08/2009,Southwestern.Manitoba,Altamont-Curling.Rink,6399106,N,MYLU,A,F,PL,10,40.5,0.24691358
11/08/2009,Southwestern.Manitoba,Altamont-Community.Centre,6967576,YP,MYLU,J,F,NA,7.4,39.27,0.188439012
11/08/2009,Southwestern.Manitoba,Altamont-Curling.Rink,6967881,YBP,MYLU,A,F,NA,9.5,38.67,0.245668477
11/08/2009,Southwestern.Manitoba,Altamont-Curling.Rink,6970171,N,MYLU,A,F,NA,9.6,38.63,0.24851152
