"ch" "GR" "weight" "FA" "BCI" "sex" "ageclass"
"1111100" "MA" 9.2 39.305 0.234066913 "M" "A"
"1000000" "FJ" 8.42 37.82666667 0.22259429 "F" "J"
"1000000" "FA" 9.77 38.51 0.253700338 "F" "A"
"1000000" "FA" 10.3 38.64 0.266563147 "F" "A"
"1000000" "FJ" 8.25 37.57 0.219590098 "F" "J"
"1000000" "FA" 9.76 40.26 0.242424242 "F" "A"
"1000000" "MJ" 9.42 38.11 0.247179218 "M" "J"
"1000000" "FA" 10.69 40.295 0.265293461 "F" "A"
"1000000" "MA" 9.42 39.785 0.236772653 "M" "A"
"1000000" "FJ" 9.95 39.135 0.254248115 "F" "J"
"1100000" "MJ" 10.03 39.3 0.255216285 "M" "J"
"1000000" "FA" 11.3 38.78 0.291387313 "F" "A"
"1000000" "MA" 8.75 36.945 0.236838544 "M" "A"
"1000000" "FJ" 11.38 39.46333333 0.28836895 "F" "J"
"1000000" "FJ" 8.99 38.11 0.23589609 "F" "J"
"1000000" "FJ" 8.97 36.945 0.242793341 "F" "J"
"1001100" "FJ" 9.74 37.88 0.257127772 "F" "J"
"1000000" "FA" 10.24 36.02 0.284286507 "F" "A"
"1000000" "MJ" 10.33 38.045 0.271520568 "M" "J"
"1000000" "MJ" 8.1 39.805 0.203492024 "M" "J"
"1000000" "MA" 9.83 38.43 0.255789748 "M" "A"
"1000000" "MA" 8.9 37.99666667 0.234231073 "M" "A"
"1000000" "MA" 8.05 38.48666667 0.209163347 "M" "A"
"1000000" "FA" 10.57 38.645 0.273515332 "F" "A"
"1000000" "FJ" 9.42 38.675 0.243568197 "F" "J"
"1000000" "FA" 9.83 39.28 0.250254582 "F" "A"
"1000000" "FA" 11.43 37.71333333 0.303075835 "F" "A"
"1000000" "MA" 9.1 38.235 0.238001831 "M" "A"
"0010000" "FA" 7.8 38.87333333 0.200651689 "F" "A"
"1000000" "FJ" 8 39.195 0.204107666794234 "F" "J"
"1000000" "MA" 8.27 39.43 0.209738778 "M" "A"
"1000000" "MJ" 10.03 39.175 0.256030632 "M" "J"
"1000000" "MJ" 8 38.955 0.205365164933898 "M" "J"
"0100000" "MA" 8.7 37.92 0.22943038 "M" "A"
"0100000" "FA" 9.8 38.96333333 0.251518522 "F" "A"
"0100000" "FA" 9.8 39.90333333 0.245593518 "F" "A"
"0100000" "FA" 11.5 37.23333333 0.308863026 "F" "A"
"0111000" "FA" 8.65 38.435 0.2250074295 "F" "A"
"0100000" "FA" 10.2 39.20666667 0.260159837 "F" "A"
"0100000" "FA" 9.1 39.04 0.233094262 "F" "A"
"0100000" "MA" 9.1 38.10666667 0.238803359 "M" "A"
"0101100" "FA" 9.3 38.68333333 0.240413615 "F" "A"
"0100000" "MA" 9.9 39.44 0.251014199 "M" "A"
"0100000" "FA" 11.1 38.32 0.289665971 "F" "A"
"0010000" "MA" 8.7 39.02333333 0.222943538 "M" "A"
"0011110" "MA" 8.9 38.61333333 0.230490331 "M" "A"
"0010000" "MJ" 8.1 38.54666667 0.210134901 "M" "J"
"0010000" "FA" 12.8 40.56666667 0.315529992 "F" "A"
"0010000" "MA" 7.9 38.26666667 0.206445993 "M" "A"
"0010000" "FA" 8.8 38.23333333 0.23016565 "F" "A"
"0010000" "MJ" 8 38.46 0.20800832 "M" "J"
"0010000" "MJ" 8.5 38.43333333 0.221162186 "M" "J"
"0010000" "MA" 9.9 38.18 0.259298062 "M" "A"
"0010000" "MJ" 8.3 37.4 0.221925134 "M" "J"
"0010000" "MA" 10.3 39.12333333 0.263270001 "M" "A"
